id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
6557005,生活大爆炸  第五季,,https://dou.img.lithub.cc/movie/6557005.jpg,2011-09-22(美国),https://movie.douban.com/subject/6557005/,9.2,喜剧,5,,,2023-12-28 13:37:19,2011 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
4804079,生活大爆炸  第四季,,https://dou.img.lithub.cc/movie/4804079.jpg,2010-09-23(美国),https://movie.douban.com/subject/4804079/,9.3,喜剧,5,,,2023-12-28 13:37:03,2010 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
3990470,生活大爆炸  第三季,,https://dou.img.lithub.cc/movie/3990470.jpg,2009-09-21(美国),https://movie.douban.com/subject/3990470/,9.4,喜剧,5,,,2023-12-28 13:36:45,2009 / 美国 / 喜剧 / 马克·森卓斯基 / 约翰尼·盖尔克奇 吉姆·帕森斯
3190880,生活大爆炸  第二季,,https://dou.img.lithub.cc/movie/3190880.jpg,2008-09-22(美国),https://movie.douban.com/subject/3190880/,9.5,喜剧,5,,,2023-12-28 13:36:27,2008 / 美国 / 喜剧 / 查克·罗瑞 比尔·布拉迪 / 吉姆·帕森斯 约翰尼·盖尔克奇
2156528,生活大爆炸  第一季,,https://dou.img.lithub.cc/movie/2156528.jpg,2007-09-24(美国),https://movie.douban.com/subject/2156528/,9.5,喜剧,5,,,2023-12-28 13:35:59,2007 / 美国 / 喜剧 / 詹姆斯·伯罗斯 / 吉姆·帕森斯 约翰尼·盖尔克奇
35208463,三大队,,https://dou.img.lithub.cc/movie/35208463.jpg,2023-12-15(中国大陆),https://movie.douban.com/subject/35208463/,7.6,"剧情,犯罪",3,真的是平平无奇，唯一能说的可能是剧本还算老实？,,2023-12-20 07:36:02,2023 / 中国大陆 / 剧情 犯罪 / 戴墨 / 张译 李晨
1291838,红猪,,https://dou.img.lithub.cc/movie/1291838.jpg,2023-11-17(中国大陆),https://movie.douban.com/subject/1291838/,8.6,"喜剧,动画,冒险",5,再不给我今年就一个五星没有了。,,2023-11-25 05:20:53,1992 / 日本 / 喜剧 动画 冒险 / 宫崎骏 / 森山周一郎 加藤登纪子
35256092,河边的错误,,https://dou.img.lithub.cc/movie/35256092.jpg,2023-10-21(中国大陆),https://movie.douban.com/subject/35256092/,7.2,"剧情,犯罪",4,这才有点电影儿那个味了。,,2023-10-26 13:52:46,2023 / 中国大陆 / 剧情 犯罪 / 魏书钧 / 朱一龙 曾美慧孜
35588177,漫长的季节,,https://dou.img.lithub.cc/movie/35588177.jpg,2023-04-22(中国大陆),https://movie.douban.com/subject/35588177/,9.4,"剧情,家庭,犯罪",4,去库存，后面也许可以剪单位更好。最浪漫最要命的东西都有了。,,2023-10-22 23:18:54,2023 / 中国大陆 / 剧情 家庭 犯罪 / 辛爽 / 范伟 秦昊
35432345,不虚此行,,https://dou.img.lithub.cc/movie/35432345.jpg,2023-09-09(中国大陆),https://movie.douban.com/subject/35432345/,7,剧情,3,方阿姨家里那一段，寥寥人生记载，故事全在。,,2023-09-14 13:36:46,2023 / 中国大陆 / 剧情 / 刘伽茵 / 胡歌 吴磊
